Uniq,Season,WTeamID,NumWin,NumLost,Win,Avg.Score,FG,Avg.FGM,X3PT,Avg.FGM3,FT,Avg.FTM,Avg.Rebound_Off,Avg.Rebound_Def,Avg.Rebound_Total,Avg.Stl,Avg.Blk,Avg.PF,Avg.TO,Avg.Ast,Seed,TeamName,FirstD1Season,LastD1Season,ConfAbbrev,Description,Regular.Season.Champ,Conf..Tourney.Champ,March.Madness.Champ,NumChamp
1093,2006,1224,7,22,24.14,64.93,42.06,22.48,34.16,6.17,75.05,13.79,10.62,19.38,30,8.07,2.52,18.86,16.34,11.52,0,Howard,1985,2018,meac,Mid-Eastern Athletic Conference,0,0,0,0
1094,2006,1225,3,25,10.71,59.82,40.12,21.89,32.38,5.68,66.21,10.36,11,19.61,30.61,5.68,1.32,18.21,13.32,9.5,0,Idaho,1985,2018,wac,Western Athletic Conference,0,0,0,0
1095,2006,1226,11,14,44,76.68,45.38,25.96,38.17,7.16,72.97,17.6,11.8,24.88,36.68,5.24,6.36,19.6,16.2,14.56,0,Idaho St,1985,2018,big_sky,Big Sky Conference,0,0,0,0
1096,2006,1227,16,14,53.33,68.57,44.31,24.9,31.2,4.07,68.8,14.7,13.9,22.77,36.67,6.63,2.6,15.83,13.63,12.97,0,IL Chicago,1985,2018,horizon,Horizon League,0,0,0,0
1097,2006,1228,25,6,80.65,69.97,45.63,25.61,36.31,7.35,63.38,11.39,12.45,23.55,36,6.23,2.52,17.39,12.35,15.1,4,Illinois,1985,2018,big_ten,Big Ten Conference,0,0,0,0
1098,2006,1229,8,19,29.63,55.56,40.54,20.48,32.23,6.11,61.56,8.48,9.56,22.44,32,6.7,4.56,17.78,16.26,12.63,0,Illinois St,1985,2018,mvc,Missouri Valley Conference,0,0,0,0
1099,2006,1231,18,11,62.07,71.17,45.97,25.21,39.56,8.69,69.86,12.07,10,23.93,33.93,6.31,2.38,18.21,14.62,14.97,6,Indiana,1985,2018,big_ten,Big Ten Conference,0,0,0,0
1100,2006,1232,12,16,42.86,63.57,41.87,22.71,35.03,5.89,69.72,12.25,9.68,21.36,31.04,6.75,2.61,16.57,13.32,13.64,0,Indiana St,1985,2018,mvc,Missouri Valley Conference,0,0,0,0
1101,2006,1233,23,7,76.67,80.37,48.37,28.6,41.06,6.43,69.43,16.73,13.33,23.7,37.03,7.63,4.17,18.57,15.1,15.83,13,Iona,1985,2018,maac,Metro Atlantic Athletic Conference,0,0,0,0
1102,2006,1234,25,8,75.76,66.39,43.11,23.12,33.51,5.61,70.59,14.55,11,26.85,37.85,6.7,4.91,15.12,14.76,14.91,3,Iowa,1985,2018,big_ten,Big Ten Conference,0,1,0,1
1103,2006,1235,15,14,51.72,76.52,45.1,28.55,34.57,6.76,69.9,12.66,12.76,20.07,32.83,9.55,2.48,20.45,13.31,16.31,0,Iowa St,1985,2018,big_twelve,Big 12 Conference,0,0,0,0
1104,2006,1236,8,18,30.77,62.73,40.93,22.46,36.05,7.31,71.65,10.5,9.19,21.04,30.23,6.69,1.85,17.04,13.58,11.04,0,IPFW,2003,2018,ind,Independent,0,0,0,0
1105,2006,1237,17,10,62.96,69.11,43.22,22.89,35.39,7.44,74.09,15.89,10.67,21,31.67,6.04,2.15,18.48,11.41,12.19,0,IUPUI,1999,2018,mid_cont,Mid-Continent Conference,0,0,0,0
1106,2006,1238,14,17,45.16,71.58,41.61,25.35,33.4,5.48,70.56,15.39,12.26,22.94,35.19,9.19,4.35,21,15.42,11,0,Jackson St,1985,2018,swac,Southwest Athletic Conference,0,0,0,0
1107,2006,1239,1,26,3.7,73.44,43.45,26.19,35.25,6.37,68.45,14.7,12.11,23.56,35.67,6.37,3.59,22.44,18.63,14.11,0,Jacksonville,1985,2018,a_sun,Atlantic Sun Conference,0,0,0,0
1108,2006,1240,15,13,53.57,75.82,46.13,26.57,38.49,7.64,69.47,15.04,12.11,20.64,32.75,7.89,3.32,19.29,13.96,13.43,0,Jacksonville St,1996,2018,ovc,Ohio Valley Conference,0,0,0,0
1109,2006,1241,5,23,17.86,64.39,40.26,23.32,33.27,5.93,61.87,11.82,14.5,20.93,35.43,5.89,2.07,19.96,16.32,12.89,0,James Madison,1985,2018,caa,Colonial Athletic Association,0,0,0,0
1110,2006,1242,24,7,77.42,74.35,47.16,27.29,37.75,6.16,66.56,13.61,13.16,26.16,39.32,9.68,5.77,18.03,15.65,17.94,4,Kansas,1985,2018,big_twelve,Big 12 Conference,1,1,0,2
1111,2006,1243,15,13,53.57,68.25,44.41,24.39,36.2,4.36,71.09,15.11,12.75,23.61,36.36,6.04,3.39,17.68,14.96,16.14,0,Kansas St,1985,2018,big_twelve,Big 12 Conference,0,0,0,0
1112,2006,1244,11,15,42.31,70.27,41.34,24.15,31.06,7.54,70.75,14.42,11.73,18.04,29.77,9.35,2.38,18.15,13.81,13.42,0,Kennesaw,2006,2018,a_sun,Atlantic Sun Conference,0,0,0,0
1113,2006,1245,24,8,75,72.06,44.39,24.5,35.41,6.94,72.07,16.12,11.06,22.38,33.44,7.72,2.31,20.09,13.25,13.44,12,Kent,1985,2018,mac,Mid-American Conference,0,0,0,0
1114,2006,1246,21,12,63.64,70.45,45.07,25.91,35.54,7.64,65.64,11,12.67,23.21,35.88,5.97,3.09,16.91,13.39,14.18,8,Kentucky,1985,2018,sec,Southeastern Conference,0,0,0,0
1115,2006,1247,18,10,64.29,69.32,44.27,24.54,35.74,6.89,72.2,13.36,11.68,24.11,35.79,7.54,3.29,17.04,13.93,13.57,0,La Salle,1985,2018,a_ten,Atlantic 10 Conference,0,0,0,0
1116,2006,1248,9,17,34.62,65.46,41.36,22,33.72,7.85,73.9,13.62,9.27,20.46,29.73,7.65,2.69,18.27,16.23,12.77,0,Lafayette,1985,2018,patriot,Patriot League,0,0,0,0
1117,2006,1249,14,13,51.85,78.37,44.72,27.74,33.95,6.78,65.71,16.11,13.07,24.67,37.74,7.22,5,19.63,14.22,15.19,0,Lamar,1985,2018,southland,Southland Conference,0,0,0,0
1118,2006,1250,17,12,58.62,61.31,41.28,20.9,35.31,6.17,68.25,13.34,9.83,24.21,34.03,6.38,2.76,17.62,14.66,12.24,0,Lehigh,1985,2018,patriot,Patriot League,0,0,0,0
1119,2006,1251,4,23,14.81,61.81,40.33,21.85,30.56,4.89,67.87,13.22,10.15,22.19,32.33,5.37,2.81,22.37,14.67,9.52,0,Liberty,1989,2018,big_south,Big South Conference,0,0,0,0
1120,2006,1252,21,10,67.74,72.77,44.58,25.48,34.52,7.19,73.54,14.61,12.58,24.29,36.87,7.68,2.84,17.84,15.16,13.61,0,Lipscomb,2003,2018,a_sun,Atlantic Sun Conference,0,0,0,0
1121,2006,1253,17,12,58.62,82.41,45.09,28.97,34.85,8.45,70.67,16.03,12.93,23.24,36.17,7.31,3.31,18.97,14.69,13.24,0,Long Beach St,1985,2018,big_west,Big West Conference,0,0,0,0
1122,2006,1254,11,16,40.74,68.56,41.05,23.44,36.62,8.52,67.49,13.15,11.52,21.89,33.41,6.41,2.3,20.04,14.48,12.52,0,Long Island,1985,2018,nec,Northeast Conference,0,0,0,0
1123,2006,1255,8,20,28.57,71.93,42.58,25.43,32.41,5.43,67.49,15.64,13.07,23.5,36.57,7.04,2.93,19.86,16.79,14.89,0,Longwood,2005,2018,ind,Independent,0,0,0,0
1124,2006,1256,19,12,61.29,65.71,42.04,24.71,28.37,4.48,63.65,11.81,15.55,23.84,39.39,7.71,4.06,18.45,15.35,14.29,0,Louisiana Tech,1985,2018,wac,Western Athletic Conference,0,0,0,0
1125,2006,1257,18,12,60,69.8,42.06,23.83,35.01,8.13,70.23,14,12.17,23.77,35.93,6.73,3.4,18.83,13,15.37,0,Louisville,1985,2018,big_east,Big East Conference,0,0,0,0
1126,2006,1258,12,18,40,72.6,41.99,25.77,32.95,4.77,68.49,16.3,13.37,23.93,37.3,7.63,3.23,19.47,15.6,15.6,0,Loy Marymount,1985,2018,wcc,West Coast Conference,0,0,0,0
1127,2006,1259,15,13,53.57,76.86,45.58,27.82,35.68,7.96,68.83,13.25,13.57,22.93,36.5,7.43,2.39,19.86,15.54,14.11,0,Loyola MD,1985,2018,maac,Metro Atlantic Athletic Conference,0,0,0,0
1128,2006,1260,17,11,60.71,71.25,45.08,25.18,35.18,5.89,74.87,15,12.14,22.54,34.68,6.18,4,18.61,13.11,12.21,0,Loyola-Chicago,1985,2018,horizon,Horizon League,0,0,0,0
1129,2006,1261,22,8,73.33,74.77,47.54,27.7,33.77,4.33,69.92,15.03,13.9,26.33,40.23,8.47,6.27,15.67,15.57,15.73,4,LSU,1985,2018,sec,Southeastern Conference,1,0,0,1
1130,2006,1263,10,16,38.46,63.31,40.9,21.69,35.44,7.54,72.04,12.38,9.19,23.88,33.08,5.73,4,17.38,14.92,11.31,0,Maine,1985,2018,aec,America East Conference,0,0,0,0
1131,2006,1264,18,10,64.29,76.68,45.48,26.75,35.36,6.64,67.89,16.54,11.93,23.29,35.21,7.93,5.75,20.57,12.89,13.21,0,Manhattan,1985,2018,maac,Metro Atlantic Athletic Conference,0,0,0,0
1132,2006,1265,19,10,65.52,76.9,48.98,27.24,38.48,8.76,68.16,13.66,10.52,24.69,35.21,5.03,2.66,17.62,13.34,15.72,0,Marist,1985,2018,maac,Metro Atlantic Athletic Conference,0,0,0,0
1133,2006,1266,19,10,65.52,74.21,45.01,26.28,39.77,8.52,73.27,13.14,11.97,23.59,35.55,7.52,3.07,19.48,14.79,15.28,7,Marquette,1985,2018,big_east,Big East Conference,0,0,0,0
1134,2006,1267,12,16,42.86,65.89,40.53,22.86,30.42,6.46,67.49,13.71,13.86,22.71,36.57,7.79,2.61,18.54,16.25,13.43,0,Marshall,1985,2018,cusa,Conference USA,0,0,0,0
1135,2006,1268,18,12,60,77.43,44.86,27.07,37.24,4.87,72.67,18.43,14.03,25.1,39.13,7.9,5.83,19.23,16.63,15.93,0,Maryland,1985,2018,acc,Atlantic Coast Conference,0,0,0,0
1136,2006,1269,13,15,46.43,64.86,43.83,23.11,30.51,5.39,64.3,13.25,12.93,24.32,37.25,5.79,7.21,18.79,17,13.36,0,Massachusetts,1985,2018,a_ten,Atlantic 10 Conference,0,0,0,0
1137,2006,1270,11,14,44,70.8,41.42,24.72,36.82,6.2,67.8,15.16,13.92,21.2,35.12,9.72,2.44,21.92,16.48,11.76,0,McNeese St,1985,2018,southland,Southland Conference,0,0,0,0
1138,2006,1271,7,22,24.14,64.9,39.96,23.41,31.98,5.69,58.56,12.38,13.45,22.28,35.72,6,3.1,18.28,17.14,11.72,0,MD E Shore,1985,2018,meac,Mid-Eastern Athletic Conference,0,0,0,0
1139,2006,1272,30,3,90.91,80.91,44.78,28.06,35.2,7.61,68.48,17.18,15.82,26.24,42.06,9.79,6.76,20.21,15.82,15.73,1,Memphis,1985,2018,cusa,Conference USA,0,0,0,0
1140,2006,1273,9,19,32.14,73.5,44.28,26.96,32.89,6.14,68.49,13.43,12.54,24.18,36.71,6.07,2.86,17.57,14.86,11.89,0,Mercer,1985,2018,a_sun,Atlantic Sun Conference,0,0,0,0
1141,2006,1274,16,15,51.61,68.65,43.62,24.39,34.96,6.48,69.51,13.39,13.58,21.81,35.39,7,4.03,18.06,12.58,11.71,0,Miami FL,1986,2018,acc,Atlantic Coast Conference,0,0,0,0
1142,2006,1275,18,10,64.29,63.21,46.1,22.79,33.74,5.89,73.44,11.75,8,23.43,31.43,5.46,2.75,18.21,13.21,12.39,0,Miami OH,1985,2018,mac,Mid-American Conference,0,0,0,0
1143,2006,1276,18,10,64.29,71.32,48.03,25.29,36.73,6.43,76.09,14.32,10.71,23.18,33.89,6.18,4.04,16.5,15.5,14.82,0,Michigan,1985,2018,big_ten,Big Ten Conference,0,0,0,0
1144,2006,1277,21,11,65.62,73.94,47.74,26.12,37.03,5.84,77.17,15.84,11.06,24.78,35.84,6.28,2.97,18.09,14.09,16.59,6,Michigan St,1985,2018,big_ten,Big Ten Conference,0,0,0,0
1145,2006,1278,15,14,51.72,65.9,43.6,23.72,32.31,4.72,66.44,13.72,12.14,22.69,34.83,8.41,3.52,16.72,14.59,14.24,0,Minnesota,1985,2018,big_ten,Big Ten Conference,0,0,0,0
1146,2006,1279,14,16,46.67,65.03,43.97,23.7,32.79,6,63,11.63,12.6,21.17,33.77,7.13,2.8,19.27,15.8,13.53,0,Mississippi,1985,2018,sec,Southeastern Conference,0,0,0,0
1147,2006,1280,15,15,50,68.1,44.47,24.93,31.39,5.57,63.33,12.67,13.4,25.53,38.93,6.2,4.53,17.63,17.33,11,0,Mississippi St,1985,2018,sec,Southeastern Conference,0,0,0,0
1148,2006,1281,12,16,42.86,66.29,42.8,23.57,33.66,6.14,65.12,13,12.64,21.11,33.75,5.96,2.25,18.14,15.79,12.04,0,Missouri,1985,2018,big_twelve,Big 12 Conference,0,0,0,0
1149,2006,1282,13,14,48.15,70.37,42.32,24.3,37,7.85,72.45,13.93,11,20.63,31.63,7.04,2.78,19.26,12.04,11.56,0,Missouri KC,1990,2018,mid_cont,Mid-Continent Conference,0,0,0,0
1150,2006,1283,20,8,71.43,75.32,46.12,26.5,38.1,6.29,74.71,16.04,12.11,24.61,36.71,8.29,3.29,18.68,13.96,15,0,Missouri St,1985,2018,mvc,Missouri Valley Conference,0,0,0,0
1151,2006,1284,18,14,56.25,64.84,44.33,23.31,33.78,6.34,66.55,11.88,8.84,23.81,32.66,7.66,3.44,16.94,15.09,14.66,16,Monmouth NJ,1985,2018,nec,Northeast Conference,0,0,0,0
1152,2006,1285,21,6,77.78,78.15,48.93,27.81,38.29,7.44,71.28,15.07,11.07,24.07,35.15,7.3,2.93,18.81,14.15,17.7,12,Montana,1985,2018,big_sky,Big Sky Conference,0,0,0,0
1153,2006,1286,13,14,48.15,73,45.89,25.85,37.33,8.3,65,13,10.59,23.59,34.19,5.7,3.48,18.15,14.41,15.33,0,Montana St,1985,2018,big_sky,Big Sky Conference,0,0,0,0
1154,2006,1287,3,23,11.54,59.85,41.7,21.85,31.58,4.62,69.61,11.54,10.23,20.69,30.92,6.81,3.15,19.08,16.92,12.42,0,Morehead St,1985,2018,ovc,Ohio Valley Conference,0,0,0,0
1155,2006,1288,4,26,13.33,54.87,37.5,20.1,28.29,4.23,62.1,10.43,10.63,21,31.63,5.43,3.3,19.7,18.73,9.73,0,Morgan St,1985,2018,meac,Mid-Eastern Athletic Conference,0,0,0,0
1156,2006,1290,9,18,33.33,60.74,42.16,22,35.92,5.48,60.44,11.26,12.19,20.44,32.63,5.37,1.96,19.26,15.56,11.07,0,MS Valley St,1985,2018,swac,Southwest Athletic Conference,0,0,0,0
1157,2006,1291,13,17,43.33,64.63,41.41,22.67,30.17,5.83,71.89,13.47,10.87,21.27,32.13,7.53,2.6,20.7,13.7,12.2,0,Mt St Mary's,1989,2018,nec,Northeast Conference,0,0,0,0
1158,2006,1292,15,12,55.56,69.81,43.48,23.85,34.23,6.59,71.02,15.52,11.89,22.48,34.37,6.48,2.15,19.78,14.26,12.81,0,MTSU,1985,2018,sun_belt,Sun Belt Conference,0,0,0,0
1159,2006,1293,23,6,79.31,71.1,45.14,25.93,35.66,7.41,65.09,11.83,12.97,23.9,36.86,7.9,4.83,18.45,12.45,16,14,Murray St,1985,2018,ovc,Ohio Valley Conference,0,0,0,0
1160,2006,1294,3,24,11.11,64.56,43.72,23.44,35.51,5.63,65.79,12.04,12.44,20.93,33.37,5.11,2.3,21.11,17.48,15.41,0,N Colorado,2005,2018,ind,Independent,0,0,0,0
1161,2006,1295,12,12,50,69.96,45.58,23.88,39.73,6.12,73.8,16.08,12.33,23.88,36.21,5.67,3.54,19.08,16.75,13.25,0,N Dakota St,2006,2018,ind,Independent,0,0,0,0
1162,2006,1296,16,11,59.26,70.52,47.86,24.81,38.22,6.67,70.98,14.22,10.15,21.89,32.04,5.48,3.7,17.78,13.3,15.81,0,N Illinois,1985,2018,mac,Mid-American Conference,0,0,0,0
1163,2006,1298,8,18,30.77,65.65,39.26,21.92,34.82,6.92,71.53,14.88,13.65,21.46,35.12,7.77,2.19,21.77,18.12,11.92,0,Navy,1985,2018,patriot,Patriot League,0,0,0,0
1164,2006,1299,6,23,20.69,61.72,39.01,21.66,28,5.79,59.32,12.62,11.69,21.17,32.86,6.83,2.72,19.24,16.28,11.31,0,NC A&T,1985,2018,meac,Mid-Eastern Athletic Conference,0,0,0,0
1165,2006,1301,21,9,70,75.7,46.7,25,37.89,9.33,75.65,16.37,9.03,24.2,33.23,7.37,4.87,17.7,13.67,16,10,NC State,1985,2018,acc,Atlantic Coast Conference,0,0,0,0
1166,2006,1304,19,13,59.38,66.84,41.2,22.38,34.75,6.62,67.07,15.47,13.31,25.31,38.62,6.59,3.84,16.53,15.66,13.34,0,Nebraska,1985,2018,big_twelve,Big 12 Conference,0,0,0,0
1167,2006,1305,26,5,83.87,72.23,45.23,25.84,35.97,5.42,72.04,15.13,12.65,25.68,38.32,5.39,4.74,16.26,12.97,15.35,5,Nevada,1985,2018,wac,Western Athletic Conference,0,0,0,0
1168,2006,1306,12,17,41.38,59.31,41.78,19.62,34.83,7.76,78.46,12.31,7.86,20.9,28.76,4.45,1.97,17.07,14.38,12.1,0,New Hampshire,1985,2018,aec,America East Conference,0,0,0,0
1169,2006,1307,17,13,56.67,64.63,45.54,23,34.59,6.43,66.91,12.2,8.5,20.97,29.47,7.3,2.23,16.43,12.17,13.6,0,New Mexico,1985,2018,mwc,Mountain West Conference,0,0,0,0
1170,2006,1308,15,14,51.72,69.76,45.14,24.17,35.11,5.69,70.05,15.72,10.9,23.1,34,6.76,2.28,17.83,16.31,11.14,0,New Mexico St,1985,2018,wac,Western Athletic Conference,0,0,0,0
1171,2006,1309,8,19,29.63,63.56,41.63,22.67,34.26,5.93,64.72,12.3,11.44,21.78,33.22,6.41,2.59,17.37,14.93,13.19,0,New Orleans,1985,2018,sun_belt,Sun Belt Conference,0,0,0,0
1172,2006,1310,11,18,37.93,73.72,41.48,24.34,32.51,7.69,74.63,17.34,14.52,23.79,38.31,5.86,2.31,17,14.38,13.86,0,Niagara,1985,2018,maac,Metro Atlantic Athletic Conference,0,0,0,0
1173,2006,1311,8,18,30.77,69.04,42.92,24.35,33.51,7.15,71.01,13.19,9.46,24.27,33.73,5.42,3.35,18.38,16.65,12.5,0,Nicholls St,1985,2018,southland,Southland Conference,0,0,0,0
1174,2006,1313,13,18,41.94,61.87,41.97,22.84,29.28,3.81,61.44,12.39,14.26,23.9,38.16,7.39,2.77,20.68,17.32,9.48,0,Norfolk St,1998,2018,meac,Mid-Eastern Athletic Conference,0,0,0,0
1175,2006,1314,22,7,75.86,80.38,48.2,28.21,38.1,6.9,70.31,17.07,14.03,25.97,40,7.9,3.93,17.38,16.62,17.97,3,North Carolina,1985,2018,acc,Atlantic Coast Conference,0,0,0,0
1176,2006,1316,4,22,15.38,68.73,44.22,24.58,34.07,5.35,71.98,14.23,11.65,21.69,33.35,5.92,2.46,18.27,16.46,13.08,0,North Florida,2006,2018,a_sun,Atlantic Sun Conference,0,0,0,0
1177,2006,1317,11,14,44,73.88,42.74,26.12,37.05,7.44,67.23,14.2,13.76,22.96,36.72,8.76,4.8,21.92,16.12,11.88,0,North Texas,1985,2018,sun_belt,Sun Belt Conference,0,0,0,0
1178,2006,1318,18,11,62.07,74.17,44.46,26.55,33.03,7.52,73.32,13.55,11.93,25.21,37.14,6.21,8,15.55,13.69,15.93,0,Northeastern,1985,2018,caa,Colonial Athletic Association,0,0,0,0
1179,2006,1319,18,10,64.29,74.93,47.66,26.14,39.24,5.93,75.48,16.71,10.04,22.57,32.61,6.71,2.57,20.64,16.68,15.54,0,Northern Arizona,1985,2018,big_sky,Big Sky Conference,0,0,0,0
1180,2006,1320,21,9,70,65.43,45.41,22.9,34.78,6.7,71.99,12.93,8.5,24.7,33.2,5.23,3.43,14.23,12.43,13.6,10,Northern Iowa,1985,2018,mvc,Missouri Valley Conference,0,0,0,0
1181,2006,1321,13,15,46.43,58.11,44.41,20.86,32.06,6.89,67.34,9.5,6.5,19.75,26.25,7.57,2.43,15.5,12.36,14.71,0,Northwestern,1985,2018,big_ten,Big Ten Conference,0,0,0,0
1182,2006,1322,22,7,75.86,75.76,46.42,26.62,36.31,6.59,67.25,15.93,13.07,22.59,35.66,8.83,3.28,20.9,15.79,16.66,14,Northwestern LA,1985,2018,southland,Southland Conference,0,0,0,0
1183,2006,1323,15,13,53.57,76,44.48,25.61,40.32,9.75,72.46,15.04,12.18,26.04,38.21,5.64,3.5,16.11,11.79,15.61,0,Notre Dame,1985,2018,big_east,Big East Conference,0,0,0,0
1184,2006,1324,9,18,33.33,72.22,44.38,24.85,33.46,6.33,68.17,16.19,13.52,22.15,35.67,7.37,2.11,17.11,15.78,11.81,0,Oakland,2000,2018,mid_cont,Mid-Continent Conference,0,0,0,0
1185,2006,1325,18,11,62.07,69.1,45.6,23.79,35.98,7.34,69.43,14.17,11.03,21.97,33,8.21,2.31,16.62,13.93,14.07,0,Ohio,1985,2018,mac,Mid-American Conference,0,0,0,0
1186,2006,1326,25,5,83.33,74.7,46.93,26.27,37.06,8.4,71.95,13.77,10.1,23.93,34.03,7,2.7,15.4,12.13,15.7,2,Ohio St,1985,2018,big_ten,Big Ten Conference,1,0,0,1
1187,2006,1328,20,8,71.43,68.61,44.85,24.43,35.88,6.04,71.51,13.71,14.64,21.96,36.61,7.11,3.43,16.93,14.04,14.46,6,Oklahoma,1985,2018,big_twelve,Big 12 Conference,0,0,0,0
1188,2006,1329,17,15,53.12,70.72,48.13,25.72,35.92,4.62,73.97,14.66,11.81,21.88,33.69,8.09,3.38,19.72,17.12,15.09,0,Oklahoma St,1985,2018,big_twelve,Big 12 Conference,0,0,0,0
1189,2006,1330,21,9,70,70.87,43.98,24.47,34.58,6.77,71.54,15.17,11.97,24.5,36.47,7.93,3.33,16.2,12.8,15.53,0,Old Dominion,1985,2018,caa,Colonial Athletic Association,0,0,0,0
1190,2006,1331,20,11,64.52,74.32,45.32,25.94,38.52,6.55,71.14,15.9,13.48,23.9,37.39,6.65,4.13,17.61,14.42,15.84,16,Oral Roberts,1985,2018,mid_cont,Mid-Continent Conference,0,0,0,0
1191,2006,1332,14,18,43.75,69.22,45.64,25.22,33.49,6.88,66.84,11.91,11.28,21.97,33.25,5.44,2.94,17.97,12.59,13.47,0,Oregon,1985,2018,pac_ten,Pacific-10 Conference,0,0,0,0
1192,2006,1333,13,18,41.94,65.9,43.86,22.71,35.32,5.35,69.58,15.13,10.35,22.81,33.16,5.52,4.74,17.03,15.45,11.71,0,Oregon St,1985,2018,pac_ten,Pacific-10 Conference,0,0,0,0
1193,2006,1334,22,7,75.86,73.72,48.52,26.55,38.48,6.45,74.59,14.17,9.86,25.31,35.17,5.93,2.1,15.38,12.55,15.66,13,Pacific,1985,2018,big_west,Big West Conference,0,0,0,0
1194,2006,1335,19,8,70.37,69,44.92,24.7,31.84,6.59,67.63,13,10.52,21.74,32.26,10.04,2.7,17.96,13.59,14.41,15,Penn,1985,2018,ivy,Ivy League,0,0,0,0
1195,2006,1336,15,14,51.72,67.24,44.15,24.34,35.96,6.14,67.29,12.41,11.86,22.07,33.93,6.93,1.9,13.9,12.72,15.62,0,Penn St,1985,2018,big_ten,Big Ten Conference,0,0,0,0
1196,2006,1337,7,20,25.93,65.96,41,23.63,32.38,4.59,67.67,14.11,11.96,23.96,35.93,6.56,3.19,20.96,15.11,10.41,0,Pepperdine,1985,2018,wcc,West Coast Conference,0,0,0,0
1197,2006,1338,24,7,77.42,72.45,45.19,25.29,35.21,6.26,68.85,15.61,13.1,26.1,39.19,6.35,3.84,17.06,13.74,16.52,5,Pittsburgh,1985,2018,big_east,Big East Conference,0,0,0,0
1198,2006,1339,11,17,39.29,68.86,42.85,23.75,37.89,5.64,72.01,15.71,10.11,21.79,31.89,7,2.11,19.32,13.79,11.96,0,Portland,1985,2018,wcc,West Coast Conference,0,0,0,0
1199,2006,1340,10,16,38.46,71.08,44.75,24.42,40.31,7.12,67.64,15.12,12.42,22.77,35.19,6,3.04,20.19,16.88,14.54,0,Portland St,1999,2018,big_sky,Big Sky Conference,0,0,0,0
1200,2006,1341,3,24,11.11,65.11,39.52,23.81,32.71,5.22,60.29,12.26,12.78,20.93,33.7,8,2,19.78,17.48,9.96,0,Prairie View,1985,2018,swac,Southwest Athletic Conference,0,0,0,0
1201,2006,1343,12,14,46.15,52.15,41.85,17.38,36.78,7.81,77.81,9.58,5.42,16.81,22.23,7.31,1.92,18.88,13.27,11.08,0,Princeton,1985,2018,ivy,Ivy League,0,0,0,0
1202,2006,1344,12,15,44.44,74.81,45.82,26.41,35.02,5.89,68.94,16.11,13.59,22.04,35.63,7.89,4.93,17.93,14.96,13.19,0,Providence,1985,2018,big_east,Big East Conference,0,0,0,0
1203,2006,1345,9,19,32.14,64.68,45.08,23.89,32.9,5.46,68.38,11.43,10.93,21.75,32.68,5.39,3.32,19,17.68,13.07,0,Purdue,1985,2018,big_ten,Big Ten Conference,0,0,0,0
1204,2006,1346,11,16,40.74,72.33,43.68,24.96,32.74,6.81,72.09,15.59,11.85,24.74,36.59,6.59,3.07,20.44,17.15,14.52,0,Quinnipiac,1999,2018,nec,Northeast Conference,0,0,0,0
1205,2006,1347,14,13,51.85,72.78,42.26,24.26,33.51,7.07,74.24,17.19,11.41,23.04,34.44,6.67,4.48,20.04,12.85,11.41,0,Radford,1985,2018,big_south,Big South Conference,0,0,0,0
1206,2006,1348,14,14,50,63.54,42.21,23.14,30.54,4.43,68.38,12.82,13.29,22.82,36.11,5.54,3.14,17.75,12.54,12.39,0,Rhode Island,1985,2018,a_ten,Atlantic 10 Conference,0,0,0,0
1207,2006,1349,10,16,38.46,66.04,42.72,23.35,33.33,4.35,72.63,15,10.65,22.38,33.04,7.54,2.85,17.62,15.04,13.35,0,Rice,1985,2018,cusa,Conference USA,0,0,0,0
1208,2006,1350,13,17,43.33,52.07,39.96,18.17,29.54,6.4,65.73,9.33,8.43,19.3,27.73,5.07,4.63,16.93,13.93,12.13,0,Richmond,1985,2018,a_ten,Atlantic 10 Conference,0,0,0,0
1209,2006,1351,8,20,28.57,70.75,42.56,23.79,35.13,8.14,71.6,15.04,10.39,24.5,34.89,6.32,3.5,18.29,15.64,14.93,0,Rider,1985,2018,maac,Metro Atlantic Athletic Conference,0,0,0,0
1210,2006,1352,13,14,48.15,71.37,42.12,24.44,38.5,8.93,73.05,13.56,12.78,21.85,34.63,7.26,2.67,17.22,14.85,13.52,0,Robert Morris,1985,2018,nec,Northeast Conference,0,0,0,0
1211,2006,1353,17,13,56.67,68.03,42.57,22.93,36.38,6.9,72.93,15.27,10.87,23.1,33.97,5.63,4.5,20.23,12.37,12.03,0,Rutgers,1985,2018,big_east,Big East Conference,0,0,0,0
1212,2006,1354,14,16,46.67,60.3,43.14,21.7,29.79,3.73,69.18,13.17,11.17,23.3,34.47,6.3,2.43,20.2,17.87,9.57,0,S Carolina St,1985,2018,meac,Mid-Eastern Athletic Conference,0,0,0,0
1213,2006,1355,8,20,28.57,63.07,40.09,22.39,34.24,5.39,69.29,12.89,13,22.25,35.25,6.75,2.11,18.18,18.79,11.71,0,S Dakota St,2006,2018,ind,Independent,0,0,0,0
1214,2006,1356,22,9,70.97,60.77,41.1,21.29,33.65,5.68,68.79,12.52,11.84,20.97,32.81,8.58,3.19,19.65,14.32,12.29,11,S Illinois,1985,2018,mvc,Missouri Valley Conference,0,0,0,0
1215,2006,1357,11,17,39.29,66.18,44.96,23.43,30.58,4.5,69.4,14.82,11.36,23.61,34.96,7.39,2.61,18.11,16.43,12.21,0,Sacred Heart,2000,2018,nec,Northeast Conference,0,0,0,0
